ACTION
ACTION_GID,ACTION_XID,LABEL_KEY,DISPLAY_IGNORE_CRITERIA,ACTION_DEF_GID,APP_ACTION_GID,MANAGER_LAYOUT_GID,IS_LONG_RUNNING_TASK,LRT_INTERRUPTABILITY,LRT_INTERRUPT_ON_SQL,LRT_OBJECT_COUNT_THRESHOLD,DOMAIN_NAME,INSERT_USER,INSERT_DATE,UPDATE_USER,UPDATE_DATE
EXEC SQL ALTER SESSION SET NLS_DATE_FORMAT = 'YYYYMMDDHH24MISS'
"BUILD_BUY_MULTI_STOP","BUILD_BUY_MULTI_STOP",,"Y","BUILD_MULTI_STOP","BUILD BUY MULTI STOP",,"Y","INTERRUPTIBLE","N",5,"PUBLIC","DBA.ADMIN","20190621113912","DBA.ADMIN","20190713052039"
"BUILD_BUY_SHIPMENTS","BUILD_BUY_SHIPMENTS",,"Y","GET_EQUIPMENT_GROUP_AND_PROFILE","BUILD BUY SHIPMENTS",,"Y","INTERRUPTIBLE","N",10,"PUBLIC","DBA.ADMIN","20190621113912","DBA.ADMIN","20190713052039"
"BUILD_SELL_SHIPMENTS","BUILD_SELL_SHIPMENTS",,"Y","GET_EQUIPMENT_GROUP_AND_PROFILE","BUILD SELL SHIPMENTS",,"Y","INTERRUPTIBLE","N",10,"PUBLIC","DBA.ADMIN","20190621113912","DBA.ADMIN","20190713052039"
