SAVED_QUERY
SAVED_QUERY_GID,SAVED_QUERY_XID,QUERY_NAME,USER_QUERY_NAME,SQL_FIND_ALL,SQL_CHECK_ONE,USE_IN_FINDER,IS_CONDITION,IS_HIDDEN_FOR_MILESTONES,BIND_PARAM,DOMAIN_NAME,INSERT_USER,INSERT_DATE,UPDATE_USER,UPDATE_DATE
EXEC SQL ALTER SESSION SET NLS_DATE_FORMAT = 'YYYYMMDDHH24MISS'
"AUTOCLOUD2.SPATIALCITYPROVDISTANCEQUERY","SPATIALCITYPROVDISTANCEQUERY","glog.webserver.distance_time.DistanceTimeSavedQueryModel","SPATIALCITYPROVDISTANCEQUERY",,,"Y","Y","N",,"AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20190703044143",,
"AUTOCLOUD2.FIND SHIPMENT FOR ORDER","FIND SHIPMENT FOR ORDER","glog.server.query.shipment.BuyShipmentQuery","FIND SHIPMENT FOR ORDER","select sh.shipment_gid from SHIPMENT sh, SHIPMENT_TYPE stp where (sh.shipment_gid in (select sstop.shipment_gid from ORDER_RELEASE o, S_SHIP_UNIT_LINE ssul, S_SHIP_UNIT ssu, SHIPMENT_STOP_D sstopd, SHIPMENT_STOP sstop where (o.order_release_xid like 'OR-LINE%') and (ssul.order_release_gid=o.order_release_gid) and (ssu.s_ship_unit_gid=ssul.s_ship_unit_gid) and (sstopd.s_ship_unit_gid=ssu.s_ship_unit_gid) and (sstop.shipment_gid=sstopd.shipment_gid) and (sstop.stop_num=sstopd.stop_num))) and (sh.perspective='B') and (sh.shipment_type_gid=stp.shipment_type_gid) and (stp.shipment_type_xid!='NON FREIGHT RELATED CHARGE')","select sh.shipment_gid from SHIPMENT sh, SHIPMENT_TYPE stp where (sh.shipment_gid in (select sstop.shipment_gid from ORDER_RELEASE o, S_SHIP_UNIT_LINE ssul, S_SHIP_UNIT ssu, SHIPMENT_STOP_D sstopd, SHIPMENT_STOP sstop where (o.order_release_xid like 'OR-LINE%') and (ssul.order_release_gid=o.order_release_gid) and (ssu.s_ship_unit_gid=ssul.s_ship_unit_gid) and (sstopd.s_ship_unit_gid=ssu.s_ship_unit_gid) and (sstop.shipment_gid=sstopd.shipment_gid) and (sstop.stop_num=sstopd.stop_num))) and (sh.shipment_gid=?) and (sh.perspective='B') and (sh.shipment_type_gid=stp.shipment_type_gid) and (stp.shipment_type_xid!='NON FREIGHT RELATED CHARGE')","Y","Y","N",,"AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20160809035437","DBA.ADMIN","20190702185343"
"AUTOCLOUD2.FIND VOUCHER FOR ORDER","FIND VOUCHER FOR ORDER","glog.server.query.invoice.VoucherQuery","FIND VOUCHER FOR ORDER","select v.voucher_gid from voucher v, invoice_shipment ishp, view_shipment_order_release vso, order_release o   where v.invoice_gid=ishp.invoice_gid   and ishp.shipment_gid=vso.shipment_gid   and vso.order_release_gid=o.order_release_gid  and o.order_release_xid='OR-LINE'","select v.voucher_gid from voucher v, invoice_shipment ishp, view_shipment_order_release vso, order_release o   where v.invoice_gid=ishp.invoice_gid   and ishp.shipment_gid=vso.shipment_gid   and vso.order_release_gid=o.order_release_gid  and o.order_release_xid='OR-LINE'","N","Y","N",,"AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20160809035604","DBA.ADMIN","20190702185343"
"AUTOCLOUD2.PCMILERDISTANCEQUERY","PCMILERDISTANCEQUERY","glog.webserver.distance_time.DistanceTimeSavedQueryModel","PCMILERDISTANCEQUERY",,,"Y","Y","N",,"AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20190703043904",,
